	Biomass ratio (Strain2/Strain1)	Benzyl acetate production flux [mmol/gDCW/h]
0	0.005	0.08808416931734771
1	0.01	0.1752962181464048
2	0.015	0.26164903496729386
3	0.02	0.34715525554484095
4	0.025	0.43182726909236324
5	0.03	0.5156772242559288
6	0.035	0.5987170349251605
7	0.04	0.6809583858764185
8	0.045	0.7624127382539809
9	0.05	0.8430913348946134
10	0.055	0.9230052055007382
11	0.06	1.002165171667182
12	0.065	1.0805818517663348
13	0.07	1.1582656656963406
14	0.075	1.2352268394967596
15	0.08	1.3114754098360653
16	0.085	1.3870212283750099
17	0.09	1.4618739660099267
18	0.095	1.5360431169997761
19	0.1	1.6095380029806263
20	0.105	1.682367776871152
21	0.11	1.754541426672574
22	0.115	1.8260677791663624
23	0.12	1.8969555035128807
24	0.125	1.967213114754099
25	0.13	2.0368489772232703
26	0.135	2.1058713078645197
27	0.14	2.174288179465056
28	0.145	2.242107523802706
29	0.15	2.309337134711333
30	0.155	2.3759846710666386
31	0.16	2.4420576596947434
32	0.165	2.5075634982058763
33	0.17	2.572509457755363
34	0.17500000000000002	2.6369026857342286
35	0.18	2.700750208391223
36	0.185	2.7640589333886694
37	0.19	2.8268356522937075
38	0.195	2.889087043007066
39	0.2	2.9508196721311473
40	0.20500000000000002	3.0120399972790963
41	0.21	3.072754369326654
42	0.215	3.1329690346083803
43	0.22	3.1926901370599294
44	0.225	3.2519237203077846
45	0.23	3.3106757297081173
46	0.23500000000000001	3.3689520143359597
47	0.24	3.426758328926494
48	0.245	3.484100335769307
49	0.25	3.5409836065573774
50	0.255	3.5974136241917565
51	0.26	3.653395784543325
52	0.265	3.7089353981727466
53	0.27	3.7640376920098095
54	0.275	3.8187078109932506
55	0.28	3.8729508196721385
56	0.28500000000000003	3.9267717037698544
57	0.29	3.9801753717117987
58	0.295	4.033166656117472
59	0.3	4.085750315258509
60	0.305	4.137931034482759
61	0.31	4.189713427606057
62	0.315	4.241102038272145
63	0.32	4.292101341281687
64	0.325	4.342715743891124
65	0.33	4.392949587082458
66	0.335	4.442807146804216
67	0.34	4.4922926351847305
68	0.34500000000000003	4.541410201718571
69	0.35000000000000003	4.590163934426231
70	0.355	4.638557860988446
71	0.36	4.686595949855352
72	0.365	4.734282111331297
73	0.37	4.781620198635895
74	0.375	4.76589542721807
75	0.38	4.748627690162943
76	0.385	4.73148462990965
77	0.39	4.714464901025075
78	0.395	4.697567177365482
79	0.4	4.680790151732036
80	0.405	4.664132535533708
81	0.41000000000000003	4.647593058457343
82	0.41500000000000004	4.6311704681447745
83	0.42	4.614863529876648
84	0.425	4.598671026263051
85	0.43	4.582591756940453
86	0.435	4.566624538275157
87	0.44	4.550768203072809
88	0.445	4.535021600294017
89	0.45	4.519383594775758
90	0.455	4.503853066958661
91	0.46	4.488428912619768
92	0.465	4.473110042610818
93	0.47000000000000003	4.457895382601937
94	0.47500000000000003	4.442783872830406
95	0.48	4.427774467854627
96	0.485	4.412866136313058
97	0.49	4.398057860687833
98	0.495	4.383348637073476
99	0.5	4.368737474949906
100	0.505	4.354223396960033
101	0.51	4.33980543869196
102	0.515	4.325482648465251
103	0.52	4.311254087121615
104	0.525	4.2971188278195775
105	0.53	4.283075955833227
106	0.535	4.269124568354945
107	0.54	4.255263774301857
108	0.545	4.241492694126116
109	0.55	4.227810459628919
110	0.555	4.214216213778041
111	0.56	4.200709110528749
112	0.5650000000000001	4.187288314648473
113	0.5700000000000001	4.173953001544491
114	0.5750000000000001	4.160702357095138
115	0.58	4.147535577484082
116	0.585	4.134451869037761
117	0.59	4.121450448065942
118	0.595	4.10853054070525
119	0.6	4.09569138276553
120	0.605	4.082932219579346
121	0.61	4.070252305853935
122	0.615	4.057650905526211
123	0.62	4.045127291620277
124	0.625	4.032680746107602
125	0.63	4.020310559769853
126	0.635	4.008016032064116
127	0.64	3.995796470990762
128	0.645	3.983651192963441
129	0.65	3.971579522681727
130	0.655	3.9595807930059643
131	0.66	3.947654344834247
132	0.665	3.9357995269818904
133	0.67	3.92401569606279
134	0.675	3.9123022163730434
135	0.68	3.9006584597766967
136	0.685	3.889083805593378
137	0.6900000000000001	3.877577640488074
138	0.6950000000000001	3.8661393583627435
139	0.7000000000000001	3.854768360249916
140	0.705	3.8434640542081224
141	0.71	3.83222585521921
142	0.715	3.8210531850873797
143	0.72	3.809945472340031
144	0.725	3.7989021521303417
145	0.73	3.787922666141531
146	0.735	3.777006462492709
147	0.74	3.7661529956464674
148	0.745	3.755361726317966
149	0.75	3.7446321213856333
150	0.755	3.7339636538033325
151	0.76	3.723355802514119
152	0.765	3.7128080523653537
153	0.77	3.702319894025338
154	0.775	3.691890823901318
155	0.78	3.6815203440589017
156	0.785	3.6712079621427742
157	0.79	3.6609531912988
158	0.795	3.6507555500974163
159	0.8	3.64061456245825
160	0.805	3.6305297575760935
161	0.81	3.620500669847965
162	0.8150000000000001	3.6105268388015763
163	0.8200000000000001	3.6006078090246447
164	0.8250000000000001	3.5907431300958073
165	0.8300000000000001	3.580932356516323
166	0.835	3.57117504764298
167	0.84	3.5614707676221893
168	0.845	3.5518190853251195
169	0.85	3.542219574283699
170	0.855	3.532671812627949
171	0.86	3.5231753830241113
172	0.865	3.5137298726138697
173	0.87	3.504334872954463
174	0.875	3.49498997995992
175	0.88	3.485694793843004
176	0.885	3.4764489190582752
177	0.89	3.467251964245953
178	0.895	3.4581035421767017
179	0.9	3.449003269697289
180	0.905	3.43995076767709
181	0.91	3.430945660955424
182	0.915	3.421987578289737
183	0.92	3.413076152304603
184	0.925	3.404211019441494
185	0.93	3.395391819909248
186	0.935	3.3866181976355847
187	0.9400000000000001	3.377889800218991
188	0.9450000000000001	3.3692062788816823
189	0.9500000000000001	3.3605672884229794
190	0.9550000000000001	3.35197248717384
191	0.96	3.3434215369514595
192	0.965	3.334914103015191
193	0.97	3.326449854022765
194	0.975	3.3180284619872658
195	0.98	3.309649602234771
196	0.985	3.301312953362657
197	0.99	3.2930181971984123
198	0.995	3.284765018759332
199	1.0	3.2765531062124404
