	Biomass ratio (Strain2/Strain1)	Benzyl acetate production flux [mmol/gDCW/h]
0	0.005	0.13513826217748467
1	0.01	0.26893852175915267
2	0.015	0.40142055218238026
3	0.02	0.5326037391700884
4	0.025	0.6625070901871809
5	0.03	0.7911492436215832
6	0.035	0.9185484776991352
7	0.04	1.0447227191413209
8	0.045	1.1696895515744967
9	0.05	1.2934662236987826
10	0.055	1.4160696572247327
11	0.06	1.537516454585344
12	0.065	1.6578229064308334
13	0.07	1.7770049989132812
14	0.075	1.8950784207679825
15	0.08	2.012058570198105
16	0.085	2.1279605615689654
17	0.09	2.242799231918071
18	0.095	2.3565891472868223
19	0.1	2.4693446088794926
20	0.105	2.581079659055035
21	0.11	2.6918080871569248
22	0.115	2.801543435186151
23	0.12	2.9102990033222587
24	0.125	3.018087855297169
25	0.13	3.124922823626261
26	0.135	3.2308165147013628
27	0.14	3.33578131374949
28	0.145	3.439829389661837
29	0.15	3.542972699696663
30	0.155	3.645222994060203
31	0.16	3.746591820368886
32	0.165	3.847090527996805
33	0.17	3.946730272311667
34	0.17500000000000002	4.045522018802574
35	0.18	4.143476547102878
36	0.185	4.240604454911195
37	0.19	4.254092489386614
38	0.195	4.2362929392218085
39	0.2	4.218641718641718
40	0.20500000000000002	4.201136981219968
41	0.21	4.183776911049638
42	0.215	4.166559722115284
43	0.22	4.149483657680385
44	0.225	4.132546989689852
45	0.23	4.115748018187048
46	0.23500000000000001	4.099085070744989
47	0.24	4.08255650191134
48	0.245	4.066160692666716
49	0.25	4.0498960498960495
50	0.255	4.033761005872563
51	0.26	4.01775401775403
52	0.265	4.001873567090959
53	0.27	3.986118159346505
54	0.275	3.970486323427506
55	0.28	3.954976611226611
56	0.28500000000000003	3.939587597175145
57	0.29	3.9243178778062493
58	0.295	3.9091660713282335
59	0.3	3.89413081720774
60	0.305	3.8792107757625005
61	0.31	3.8644046277634057
62	0.315	3.8497110740456755
63	0.32	3.835128835128834
64	0.325	3.8206566508453306
65	0.33	3.8062932799774827
66	0.335	3.792037499902663
67	0.34	3.7778881062463032
68	0.34500000000000003	3.763843912542797
69	0.35000000000000003	3.7499037499037544
70	0.355	3.7360664666937646
71	0.36	3.722330928213281
72	0.365	3.708696016388324
73	0.37	3.695160629467199
74	0.375	3.681723681723681
75	0.38	3.668384103166723
76	0.385	3.655140839256365
77	0.39	3.6419928506259316
78	0.395	3.6289391128100803
79	0.4	3.6159786159786167
80	0.405	3.6031103646762004
81	0.41000000000000003	3.5903333775674193
82	0.41500000000000004	3.5776466871873227
83	0.42	3.565049339697228
84	0.425	3.552540394645657
85	0.43	3.5401189247343092
86	0.435	3.527784015588894
87	0.44	3.5155347655347633
88	0.445	3.5033702853772053
89	0.45	3.4912896981862507
90	0.455	3.4792921390859535
91	0.46	3.4673767550479875
92	0.465	3.4555427046894627
93	0.47000000000000003	3.443789158074863
94	0.47500000000000003	3.432115296522076
95	0.48	3.4205203124121932
96	0.485	3.4090034090034087
97	0.49	3.3975638002483644
98	0.495	3.386200710615425
99	0.5	3.3749133749133695
100	0.505	3.3637010381196615
101	0.51	3.352562955211962
102	0.515	3.341498391003342
103	0.52	3.3305066199803086
104	0.525	3.319586926144301
105	0.53	3.3087386028562387
106	0.535	3.297960952684079
107	0.54	3.2872532872532823
108	0.545	3.27661492710037
109	0.55	3.2660452015290726
110	0.555	3.2555434484694916
111	0.56	3.2451090143397887
112	0.5650000000000001	3.2347412539105824
113	0.5700000000000001	3.2244395301720146
114	0.5750000000000001	3.2142032142032133
115	0.58	3.204031685044344
116	0.585	3.193924329571024
117	0.59	3.183880542371109
118	0.595	3.1738997256238632
119	0.6	3.163981288981289
120	0.605	3.1541246494517527
121	0.61	3.1443292312857527
122	0.615	3.1345944658638154
123	0.62	3.1249197915864606
124	0.625	3.115304653766192
125	0.63	3.105748504521511
126	0.635	3.0962508026728197
127	0.64	3.086811013640281
128	0.645	3.0774286093435026
129	0.65	3.068103068103069
130	0.655	3.058833874543844
131	0.66	3.04962051950004
132	0.665	3.0404624999219596
133	0.67	3.031359318784469
134	0.675	3.022310484997052
135	0.68	3.0133155133155127
136	0.685	3.00437392425523
137	0.6900000000000001	2.9954852440059545
138	0.6950000000000001	2.9866490043481195
139	0.7000000000000001	2.977864742570624
140	0.705	2.9691320013900677
141	0.71	2.9604503288713815
142	0.715	2.9518192783498916
143	0.72	2.943238408354688
144	0.725	2.9347072825333695
145	0.73	2.9262254695780703
146	0.735	2.917792543152774
147	0.74	2.9094080818218755
148	0.745	2.901071668979984
149	0.75	2.8927828927828934
150	0.755	2.884541346079808
151	0.76	2.876346626346626
152	0.765	2.8681983356204324
153	0.77	2.8600960804350595
154	0.775	2.852039471757782
155	0.78	2.844028124927001
156	0.785	2.8360616595910706
157	0.79	2.828139699648079
158	0.795	2.8202618731866664
159	0.8	2.8124278124278184
160	0.805	2.804637153667624
161	0.81	2.7968895372210283
162	0.8150000000000001	2.7891846073664253
163	0.8200000000000001	2.7815220122912425
164	0.8250000000000001	2.7739014040383836
165	0.8300000000000001	2.7663224384535856
166	0.835	2.758784775133549
167	0.84	2.751288077375034
168	0.845	2.743832012124695
169	0.85	2.736416249929764
170	0.855	2.7290404648895197
171	0.86	2.7217043346075607
172	0.865	2.714407540144806
173	0.87	2.707149765973295
174	0.875	2.6999306999307007
175	0.88	2.6927500331755647
176	0.885	2.6856074601432693
177	0.89	2.6785026785026784
